dataset,rebin_ps,k,n_events,delta_mean_ns,delta_rms_ns,delta_p50_ns,delta_p90_ns
noLG,200.0,420,1580,0.04291553341030987,0.7571425912346531,0.048256301328915674,1.0124391129371995
noLG,200.0,430,1580,0.04538234412048541,0.7834707971381952,0.05253261447931479,1.0345839750626498
noLG,200.0,440,1580,0.04822083566007251,0.8104337254687949,0.05007313768504962,1.075874201745959
noLG,200.0,450,1580,0.05054151016258095,0.8395618796662345,0.05265261978820712,1.1136917165757891
noLG,200.0,460,1580,0.05268459653638669,0.8693910624399367,0.049402774860012766,1.1610826144475686
noLG,200.0,470,1580,0.05467397671596977,0.9004808396681653,0.05644973157543354,1.210343685179883
noLG,200.0,480,1580,0.05635311678855808,0.9317895687947125,0.056666668752829,1.258701851818678
noLG,200.0,490,1580,0.05793283770575957,0.9656718831630157,0.058147387973819686,1.3187437538175333
noLG,200.0,500,1580,0.06098712493983915,1.0012822977722349,0.06587302421766639,1.3715983785533725
noLG,200.0,510,1580,0.06308038211427229,1.038421104515335,0.06552380803369395,1.4143536467002111
noLG,200.0,520,1580,0.06378989975758136,1.076456262834248,0.06850307646754317,1.4915985526967825
noLG,200.0,530,1580,0.0658553444936329,1.1179544973464852,0.0632815729029188,1.5492371685050237
noLG,200.0,540,1580,0.06881912574422591,1.1623147700172354,0.05872720618506255,1.6043441511353898
noLG,200.0,550,1580,0.07258977624295143,1.2091275456597979,0.07363068185035448,1.6708357810004024
noLG,200.0,560,1580,0.07681365245584093,1.2571039880586967,0.0824421715063306,1.727155156406754
noLG,200.0,570,1580,0.0792083037394895,1.3085235235351347,0.09278846302857735,1.7916713344529798
noLG,200.0,580,1580,0.08338972772120667,1.3624853238464794,0.09702435863163172,1.88708695974039
noLG,200.0,590,1580,0.08713155598704841,1.4207492839525633,0.10674962292609336,1.9644304966492958
noLG,200.0,600,1580,0.09064183739076538,1.4862408360819541,0.12358974031148806,2.0533594771241823
noLG,200.0,610,1580,0.09370324766748823,1.5568846655832824,0.12333332945903086,2.139653939128971
noLG,200.0,620,1580,0.09583688112018313,1.6318527344596023,0.12031468740084827,2.258077405151544
noLG,200.0,630,1580,0.10104700440444077,1.7138758296570291,0.12641025849641885,2.3403461484817387
noLG,200.0,640,1580,0.10913030645643278,1.8009847586439378,0.15185185065975948,2.4637402556275405
noLG,200.0,650,1580,0.11727382180790323,1.8979834884327105,0.15516252304443778,2.60897855386899
noLG,200.0,660,1580,0.1276640497966298,2.005089259657612,0.17532828700060854,2.770011283142678
noLG,200.0,670,1580,0.1333740827105393,2.127422223042782,0.18583333541949587,2.9652766466731415
noLG,200.0,680,1580,0.14000365572000242,2.270613411777478,0.20614035177126322,3.14535138824167
noLG,200.0,690,1580,0.14606844482600975,2.432739591073473,0.23984848157022975,3.3528235191001636
noLG,200.0,700,1580,0.15764463787655167,2.6230686541221937,0.22744346879638955,3.5805797057341855
noLG,200.0,710,1580,0.1610757120028034,2.855394953202604,0.2625030767812837,3.8634285754816897
noLG,200.0,720,1580,0.17389857136303574,3.147550566110977,0.2785164361764354,4.2309543325526935
noLG,200.0,730,1580,0.18619544836254176,3.533176017182157,0.2982731262361611,4.75863491568774
noLG,200.0,740,1580,0.21121951190046978,4.132105667416084,0.3416558435597987,5.459543343653258
noLG,200.0,750,1576,0.298348956739588,5.765884485033989,0.34541063990342646,6.4359340632518585
noLG,200.0,760,1470,0.19385801292916144,9.362996021446254,0.3557894668296766,6.941888886623916
noLG,200.0,770,1322,0.030651510283023507,8.9012706924267,0.4232142797538221,7.123400000417236
