dataset,rebin_ps,quantile_percent,n_events,delta_mean_ns,delta_rms_ns,delta_p50_ns,delta_p90_ns
noLG,200.0,1,3000,-0.02029287401206426,0.04561766993477293,-0.0197957174648071,0.037614339311663726
noLG,200.0,2,3000,-0.02071770877412639,0.06964605140602252,-0.02055602179229865,0.06772709806855051
noLG,200.0,3,3000,-0.021883408277204915,0.08609296549469167,-0.023658675083427394,0.08665126314101472
noLG,200.0,4,3000,-0.021515629861878115,0.08109778015639575,-0.022728253411302857,0.07963045716632325
noLG,200.0,5,3000,-0.02095098593951877,0.08411536042864863,-0.020695039714054453,0.08445890235774506
noLG,200.0,6,3000,-0.020472349137271258,0.08781256048731269,-0.018693324715929938,0.09078412026299469
noLG,200.0,7,3000,-0.0200264877800278,0.09306039165146228,-0.019694638821224353,0.09736914827332446
noLG,200.0,8,3000,-0.0198575331768006,0.09634888807340666,-0.019966671979418038,0.10235613980013732
noLG,200.0,9,3000,-0.01970088815754603,0.0972914971198467,-0.019889641272088476,0.10326743624035897
noLG,200.0,10,3000,-0.019869132230852505,0.09947567893294831,-0.01980858132910146,0.10811285234950879
noLG,200.0,11,3000,-0.020152104301293133,0.1006427853982188,-0.02011372902448938,0.10897537599704372
noLG,200.0,12,3000,-0.020271087011528553,0.10127163830085921,-0.019080930373412075,0.104864010996978
noLG,200.0,13,3000,-0.020223497340588363,0.10337568103216764,-0.01869010115324432,0.10912395708996905
noLG,200.0,14,3000,-0.02017428704506585,0.10456008518953754,-0.017865805013206892,0.11278081215531437
noLG,200.0,15,3000,-0.020062504759282396,0.10535904874439438,-0.019660586872678354,0.11285007745547446
noLG,200.0,16,3000,-0.019989738083978994,0.10711918312659978,-0.0198215101708199,0.11506766977923233
noLG,200.0,17,3000,-0.019758392273245558,0.1089082840812727,-0.020890874995546316,0.11863950548806688
noLG,200.0,18,3000,-0.01942380970750318,0.11048303406476401,-0.021029690461030315,0.12334769418744584
noLG,200.0,19,3000,-0.01906207337761645,0.11274967276263992,-0.021176729616105283,0.12823241412102682
noLG,200.0,20,3000,-0.01927238690198752,0.11492518539690795,-0.02233288531155564,0.13127863709524476
noLG,200.0,21,3000,-0.019440569620760923,0.11635736720246997,-0.02230974800670671,0.13016165331307528
noLG,200.0,22,3000,-0.019666586779709262,0.11789003151198221,-0.023405495330530823,0.1312952253920676
noLG,200.0,23,3000,-0.020089972397159934,0.11983576658449402,-0.02061727090846721,0.13192463698720802
noLG,200.0,24,3000,-0.020356362791201222,0.12138266650345257,-0.022058180788103066,0.13288068900843106
noLG,200.0,25,3000,-0.020178010656998733,0.12296645969190448,-0.022239544276853485,0.13323517118880465
noLG,200.0,26,3000,-0.01996260718714443,0.12456486662594111,-0.020753988327055106,0.13600849488803304
noLG,200.0,27,3000,-0.020046306345373587,0.12575488203728147,-0.021488563730145627,0.13876923171746056
noLG,200.0,28,3000,-0.020444961578483196,0.1267938740786278,-0.02062301024029156,0.14037528190282852
noLG,200.0,29,3000,-0.020932100157171594,0.12832107552220792,-0.020607922708657522,0.1431175688644398
noLG,200.0,30,3000,-0.021288619557466595,0.13012054455892444,-0.021962964582439515,0.143912766428263
noLG,200.0,31,3000,-0.021471191841931008,0.1316432371129529,-0.022783091715080417,0.14557819807296585
noLG,200.0,32,3000,-0.021386866677208363,0.13335590982218154,-0.022044058560656943,0.14605692408343837
noLG,200.0,33,3000,-0.020991784779575723,0.13531714880672982,-0.020524463958023542,0.1505037343542689
noLG,200.0,34,3000,-0.020760393884155678,0.1371225757346911,-0.017914693665746384,0.1535733818635652
noLG,200.0,35,3000,-0.020840635313784904,0.13920049039666124,-0.01769520721290352,0.15715808084764712
noLG,200.0,36,3000,-0.020885106586087176,0.14139882234351572,-0.017364223186855154,0.15801819905734368
